attachment_id	text	user_id	height	width	length	train
44e8d2a0-7e01-450b-90b0-beb7400d2c1e	Ё	185bd3a81d9d618518d10abebf0d17a8	1920	1080	76.0	True
df5b08f0-41d1-4572-889c-8b893e71069b	А	185bd3a81d9d618518d10abebf0d17a8	1920	1080	40.0	True
17f53df4-c467-4aff-9f48-20687b63d49a	Р	185bd3a81d9d618518d10abebf0d17a8	1920	1080	57.0	True
e3add916-c708-4339-ad98-7e2740be29e9	Е	185bd3a81d9d618518d10abebf0d17a8	1920	1080	64.0	True
bd7272ed-1850-48f1-a2a8-c8fed523dc37	Ч	185bd3a81d9d618518d10abebf0d17a8	1920	1080	84.0	True
eced728b-ec24-4f91-a967-7377542a23e6	Л	185bd3a81d9d618518d10abebf0d17a8	1920	1080	76.0	True
cf6845ac-9e02-49b4-8d2b-f56c789f973a	Ц	95af8e702c909eee7145c6dc1a3d756b	1280	720	51.0	True
330fc737-22a8-419b-9e46-b9af6adef8bf	С	185bd3a81d9d618518d10abebf0d17a8	1920	1080	69.0	True
a5948d20-283a-45d4-8ab3-9c63f35db522	Й	185bd3a81d9d618518d10abebf0d17a8	1920	1080	74.0	True
3f0389e8-fe70-41b0-806d-8c1aae3d20c1	З	185bd3a81d9d618518d10abebf0d17a8	1920	1080	80.0	True
63e80a5b-b194-4274-9add-f79749617b39	Ь	185bd3a81d9d618518d10abebf0d17a8	1920	1080	77.0	True
5ce6ce8a-d191-47d4-97b4-3fc6f9138a73	Я	185bd3a81d9d618518d10abebf0d17a8	1920	1080	91.0	True
9603023d-a2e3-449b-8f68-2e345bb5ca6e	Б	185bd3a81d9d618518d10abebf0d17a8	1920	1080	83.0	True
04c2dca4-30cc-4dda-99c8-f5e84be0e365	Щ	185bd3a81d9d618518d10abebf0d17a8	1920	1080	72.0	True
f5d433fa-72df-4784-a001-40eb2c401546	У	185bd3a81d9d618518d10abebf0d17a8	1920	1080	65.0	True
06000f55-6f8e-404b-a01c-a32f4a384590	Ы	185bd3a81d9d618518d10abebf0d17a8	1920	1080	70.0	True
2225775d-2fb2-4e3b-be84-b3679dc1a4fb	Д	185bd3a81d9d618518d10abebf0d17a8	1920	1080	66.0	True
f2584ae6-660a-444d-8178-e32378d1b592	Ф	185bd3a81d9d618518d10abebf0d17a8	1920	1080	59.0	True
cdccffee-ea5c-4e89-8454-c99d8d8f8b9e	Т	185bd3a81d9d618518d10abebf0d17a8	1920	1080	71.0	True
95b13c61-afa4-4b56-92a9-64f42fe9f572	Ъ	185bd3a81d9d618518d10abebf0d17a8	1920	1080	65.0	True
ed900e13-7b49-4af3-89de-616fbdabdaab	О	185bd3a81d9d618518d10abebf0d17a8	1920	1080	69.0	True
640469f8-d647-46a9-be8b-63b45e85416f	М	185bd3a81d9d618518d10abebf0d17a8	1920	1080	97.0	True
39e0e8d5-a0f1-4561-9db2-96725017e263	П	185bd3a81d9d618518d10abebf0d17a8	1920	1080	61.0	True
23e658a3-80ba-4366-9031-2ddbcd554300	Х	185bd3a81d9d618518d10abebf0d17a8	1920	1080	75.0	True
bbea6c89-d836-4d29-96f3-43b5ed04799b	Э	185bd3a81d9d618518d10abebf0d17a8	1920	1080	79.0	True
03737e2c-f912-493b-ad40-8320ee9fdf30	Ц	185bd3a81d9d618518d10abebf0d17a8	1920	1080	85.0	True
9ede40ec-0c67-4a57-8337-0037c0151bb1	Н	185bd3a81d9d618518d10abebf0d17a8	1920	1080	95.0	True
4bbaee59-7610-4bcb-ba8c-ebcba3870e74	В	185bd3a81d9d618518d10abebf0d17a8	1920	1080	67.0	True
ebb90295-c901-49a8-a404-e5f2c53b434d	Ю	185bd3a81d9d618518d10abebf0d17a8	1920	1080	83.0	True
b51a318d-67a7-4cab-ab07-25bb2ae930a4	Ш	185bd3a81d9d618518d10abebf0d17a8	1920	1080	77.0	True
3f0e0fbd-e1b4-4377-8ea9-1f056d732b2c	Ж	185bd3a81d9d618518d10abebf0d17a8	1920	1080	88.0	True
b2278742-7685-43f9-823e-e957d9862b66	Г	185bd3a81d9d618518d10abebf0d17a8	1920	1080	100.0	True
2acb8e77-4aba-4202-a99a-0d88f4df45d0	Ф	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	46.0	True
d3776bf0-31a9-4908-8304-1269419fb589	Ё	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	67.0	True
52a31867-5661-4a33-aeea-416fedc8b029	А	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	31.0	True
d259aa8f-5152-441f-bfc1-580ca24665b9	Щ	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	65.0	True
c2161a5f-5b07-4af0-8097-f306938967e9	Д	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	52.0	True
05f47963-0032-4783-a853-4d96c7a976d1	З	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	38.0	True
9771b4ab-36db-4675-b900-d976d8c3d62f	Ц	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	56.0	True
fe6591da-0698-4e79-83e9-a91ce981571f	Е	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	47.0	True
9766e377-f170-4126-82c1-0e83dc4966e1	Ь	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	37.0	True
fb1acbb8-ae1d-4671-8b1e-c9543d9a717e	Ы	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	78.0	True
0e25c52a-b8a0-4fab-a88c-5dd39821809e	С	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	57.0	True
8fb4e5c9-a7df-4bad-b7d7-9d8e497d5a69	Н	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	37.0	True
be1e6470-e179-470f-a4cc-fc5f4a3f5596	Ю	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	58.0	True
c9e2dbd1-ec2f-4382-a80e-5bca8396a9b1	Я	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	58.0	True
35d8ff5d-46ef-4a19-b6e4-ba32bc3a0ebb	Ъ	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	32.0	True
cf3b74e1-3a83-44e7-ad73-5d2825c6b446	Ч	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	47.0	True
8f1f6b37-d0e3-416f-aecc-35975221fd36	П	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	36.0	True
f6a9f47e-d05b-4ab0-830c-62695f50b7a3	Р	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	34.0	True
26597670-0aab-41e2-97c1-0231207bb8e4	Б	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	52.0	True
bc669be7-d25e-4235-88bc-899be22b8ec5	Х	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	46.0	True
d48a9649-974b-4185-bff1-368b4dacd89f	Э	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	43.0	True
bbb5ba86-66f0-412d-91c0-858a991949c3	Л	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	42.0	True
53e6bfc5-de91-49f4-96de-1269f3a75330	Й	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	38.0	True
fdbcc5f4-d0ff-4933-bfb8-1f08e43254ed	Ш	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	39.0	True
3ef363c9-64e1-496a-a385-b831d9c72a7c	Ж	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	63.0	True
5cc93e00-3d85-45d8-b1ea-df2ce3fe374b	Г	46dd04a1caa75ed3082b573cb5a3ad26	1920	1080	47.0	True
eb72178c-7020-4cff-9123-2c1a90695d41	З	95af8e702c909eee7145c6dc1a3d756b	1280	720	59.0	True
59cbf994-7b34-4c53-a4a4-b4b1a3169a0e	Х	95af8e702c909eee7145c6dc1a3d756b	1280	720	48.0	True
8d3335ad-5fdb-4804-a1b0-5328bfde4c16	М	95af8e702c909eee7145c6dc1a3d756b	1280	720	43.0	True
d9171a06-bbad-4278-95b7-4e8c1b551e2d	Б	95af8e702c909eee7145c6dc1a3d756b	1280	720	76.0	True
19614c38-11a7-4ba4-9f60-0cd1cd665193	Ш	95af8e702c909eee7145c6dc1a3d756b	1280	720	50.0	True
